entry_bar,exit_bar,side,setup,ts,entry,sl,tp1,tp,first_close_r,tp_full_r,gross_r,fee_r,net_r,reason
35372,35377,long,sweep,2025-06-30 08:00:00+00:00,107449.0,107109.9,108766.4,108122.52,3.885,1.9862,-1.0,0.3802,-1.3802,SL
36092,36094,short,sweep,2025-07-30 08:00:00+00:00,118350.0,118604.45,117371.4,117773.99,3.8459,2.2638,3.4504,0.5581,2.8923,TP1+TP
36188,36190,short,sweep,2025-08-03 08:00:00+00:00,113658.3,114117.3,111870.0,108709.17,3.8961,10.7824,-1.0,0.2971,-1.2971,SL
36716,36720,long,sweep,2025-08-25 08:00:00+00:00,111376.6,110778.5,113649.9,114071.3,3.8009,4.5054,-1.0,0.2235,-1.2235,SL
36836,36842,short,sweep,2025-08-30 08:00:00+00:00,108548.1,108882.55,107300.0,107797.77,3.7318,2.2435,-1.0,0.3895,-1.3895,SL
36908,36911,short,sweep,2025-09-02 08:00:00+00:00,110332.8,110769.05,108850.0,108553.3,3.399,4.0791,3.569,0.3035,3.2655,TP1+TP
37556,37559,short,sweep,2025-09-29 08:00:00+00:00,112051.0,112249.77,111487.2,111469.88,2.8364,2.9235,-1.0,0.6764,-1.6764,SL
37652,37657,long,sweep,2025-10-03 08:00:00+00:00,119979.0,119741.73,120506.0,120978.37,2.2211,4.2118,1.6658,0.6068,1.059,TP1+BE
37748,37751,long,sweep,2025-10-07 08:00:00+00:00,123801.0,123418.7,125029.2,124451.1,3.2127,1.7005,2.8346,0.3886,2.446,TP1+TP
38732,38736,short,sweep,2025-11-17 08:00:00+00:00,95582.3,96113.43,93723.0,94558.86,3.5007,1.9269,3.1072,0.216,2.8913,TP1+TP
39356,39357,short,sweep,2025-12-13 08:00:00+00:00,90419.3,90509.0,90069.7,90080.1,3.8974,3.7815,-1.0,1.2096,-2.2096,SL
39572,39572,short,sweep,2025-12-22 08:00:00+00:00,89300.9,89741.38,87844.9,87907.12,3.3055,3.1643,-1.0,0.2433,-1.2433,SL
39620,39625,long,sweep,2025-12-24 08:00:00+00:00,86746.6,86479.55,87800.0,87362.55,3.9446,2.3065,-1.0,0.3898,-1.3898,SL
40892,40896,short,sweep,2026-02-15 08:00:00+00:00,70407.3,70832.18,69200.0,69596.6,2.8415,1.9081,2.6082,0.1989,2.4093,TP1+TP
41924,41928,short,sweep,2026-03-30 08:00:00+00:00,67634.2,68147.82,65747.8,66819.58,3.6727,1.586,-1.0,0.158,-1.158,SL
42260,42264,long,sweep,2026-04-13 08:00:00+00:00,70637.6,70470.8,71247.8,71099.24,3.6583,2.7676,3.4356,0.5082,2.9274,TP1+TP
42692,42695,short,sweep,2026-05-01 08:00:00+00:00,77339.0,77628.98,76269.5,76480.4,3.6882,2.9609,-1.0,0.3201,-1.3201,SL
43148,43151,short,sweep,2026-05-20 08:00:00+00:00,77424.3,77669.08,76465.9,76480.02,3.9154,3.8577,-1.0,0.3796,-1.3796,SL
